0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
188	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	177	195	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	220	118	232	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	166	171	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	187	227	136	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	165	167	86	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	49	15	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	221	238	211	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	109	38	0	-1	235	212	233	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48
197	249	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	122	246	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	252	81	89	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	212	209	190	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	150	208	209	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	136	231	80	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	163	30	175	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	74	195	247	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	125	169	138	-1	-1	206	33	67	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	97
103	191	85	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	141	175	92	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	156	53	80	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	132	239	20	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66	0	39	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	249	254	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	243	25	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	149	251	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	62	216	-1	-1	-1	87	50	152	0	-1	-1	-1	-1	-1	-1	-1	-1	54
-1	54	226	125	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	225	178	204	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	246	222	96	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	11	209	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	233	74	197	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	72	217	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	198	76	46	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	189	155	117	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	218	-1	-1	-1	-1	155	169	19	0	-1	-1	-1	-1	-1	-1	-1	244
-1	-1	76	221	155	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	198	38	131	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	208	44	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	248	242	7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	195	105	178	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	222	215	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	212	2	166	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	112	75	75	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	232	111	238	0	-1	-1	-1	-1	-1	-1	190
-1	-1	-1	237	74	123	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	189	178	179	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	14	98	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	0	143	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	21	182	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	160	186	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	155	172	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83	10	161	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	232	163	0	-1	-1	-1	-1	-1	101
-1	-1	-1	-1	212	184	196	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	32	108	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	115	221	201	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	187	214	140	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	176	248	218	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	177	204	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	186	178	171	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	164	244	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	17	92	0	-1	-1	-1	-1	69
-1	-1	-1	-1	-1	140	172	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	52	13	114	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	98	85	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	28	13	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	118	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	242	195	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	18	249	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	182	249	235	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	32	43	0	-1	-1	-1	174
-1	-1	-1	-1	-1	-1	248	207	120	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	253	107	253	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	119	238	97	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	143	23	185	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	169	188	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	38	187	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	72	186	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	250	40	161	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	118	86	0	-1	-1	76
