rber,frames,frame_errors,fer,uber,avg_iter
0.0050,108404,100,9.224752e-04,2.306188e-06,1.188
0.0100,27845,100,3.591309e-03,8.978273e-06,1.651
0.0200,4799,100,2.083767e-02,5.209419e-05,2.392
0.0300,2083,100,4.800768e-02,1.200192e-04,3.274
0.0400,2000,286,1.430000e-01,3.575000e-04,4.500
0.0500,2000,729,3.645000e-01,9.112500e-04,7.084
0.0600,2000,1290,6.450000e-01,1.612500e-03,12.607
0.0800,2000,1985,9.925000e-01,2.481250e-03,35.397
0.1000,2000,2000,1.000000e+00,2.500000e-03,47.484
